"","deployment","participant_id","pm","hepa","k_val_mean","k_val_min","k_val_q25","k_val_median","k_val_q75","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n"
"1","CH","clerk","pm1",FALSE,-0.00509268202605358,-0.0172212263447022,-0.00609124796753924,-0.0023181438408068,-0.00119967352582964,-0.00052277869938507,7.42646666666667,5.37435,4.1304,19.152,631.666666666667,329.5,34,2096,33535.7996,6
"2","CH","clerk","pm1",TRUE,-0.0422694817543706,-0.164948158288498,-0.0494701163380914,-0.00985724541199204,-0.00539541658464623,-0.00237169445808587,4.26135,2.90145,2.0582,10.1356,478.5,201.5,4,1523,12091.9514,6
"3","CH","clerk","pm10",FALSE,-0.172051824518261,-0.401546803980942,-0.285332557064302,-0.198372463674132,-0.00395297752439839,-0.00037900821883256,7.978725,5.8157,4.9187,24.2985,303.166666666667,8,3,2077,36355.2862,12
"4","CH","clerk","pm10",TRUE,-0.419645994776413,-1.3097809959558,-0.668326479821165,-0.290561876096742,-0.0525455962783165,-0.001447306630728,5.06606666666667,4.40935,2.8381,11.9787,142.944444444444,7.5,3,1445,13139.6916,18
"5","CH","clerk","pm25",FALSE,-0.00545199850720612,-0.0168039643840837,-0.00688069311464238,-0.00333042944061135,-0.00131766283165666,-0.00053631280993913,8.36555,5.70405,4.3038,19.8611,643.833333333333,372,20,2098,35600.5697,6
"6","CH","clerk","pm25",TRUE,-0.0350968337222377,-0.204404454509179,-0.0108454424193435,-0.0078331858709581,-0.00463732229300855,-0.00247466625082288,4.18887142857143,2.9413,2.1077,9.9103,416.571428571429,65,5,1523,12724.0823,7
"7","CH","engineering","pm1",FALSE,-0.080959938642643,-0.416121748975839,-0.0932738392111638,-0.0216543520015046,-0.00300983072204186,-0.00073667302298645,5.42089166666667,4.42455,4.0179,14.0023,158.75,24,5,1063,12029.6018,12
"8","CH","engineering","pm1",TRUE,-0.00017984985847448,-0.00017984985847448,-0.00017984985847448,-0.00017984985847448,-0.00017984985847448,-0.00017984985847448,10.5565,10.5565,10.5565,10.5565,2746,2746,2746,2746,16166.8326,1
"9","CH","engineering","pm10",FALSE,-0.1372687725223,-0.438989639526195,-0.282863407652245,-0.0450130427878185,-0.0225569254294707,-0.00142968946961965,10.2136769230769,10.6202,5.0464,23.127,136.615384615385,35,3,1063,13795.4798,13
"10","CH","engineering","pm10",TRUE,-0.00023018731093457,-0.00023018731093457,-0.00023018731093457,-0.00023018731093457,-0.00023018731093457,-0.00023018731093457,23.4422,23.4422,23.4422,23.4422,2746,2746,2746,2746,20615.1721,1
"11","CH","engineering","pm25",FALSE,-0.110546196551603,-0.306296146666844,-0.227875729880315,-0.0418935151689237,-0.0013928915709657,-0.00069924430281363,6.3104375,5.10265,4.3464,14.882,211.5,44,5,1063,11658.9867,8
"12","CH","engineering","pm25",TRUE,-0.00031090516871583,-0.00031090516871583,-0.00031090516871583,-0.00031090516871583,-0.00031090516871583,-0.00031090516871583,12.8014,12.8014,12.8014,12.8014,2746,2746,2746,2746,17283.7062,1
"13","CH","veterans","pm1",FALSE,-0.0181788782369387,-0.0343957144884564,-0.0251271070513758,-0.0158584996142952,-0.0100704601111798,-0.00428242060806437,5.08846666666667,4.4461,4.3898,6.4295,48,56,14,74,600.3591,3
"14","CH","veterans","pm1",TRUE,-0.0635793499536662,-0.0635793499536662,-0.0635793499536662,-0.0635793499536662,-0.0635793499536662,-0.0635793499536662,2.1991,2.1991,2.1991,2.1991,14,14,14,14,25.5252,1
"15","CH","veterans","pm10",FALSE,-0.325348204348449,-0.583547696344655,-0.524620109497946,-0.483118340687452,-0.0260491903235121,-0.00940568488868168,9.12068,8.7659,5.0227,13.0345,28,6,4,80,715.7507,5
"16","CH","veterans","pm10",TRUE,-0.748239685570161,-1.31320661679965,-1.10177720901335,-0.719959130199858,-0.375072311464147,-0.247153295718179,8.09996666666667,6.2983,2.6962,14.8836,6.16666666666667,6.5,5,7,135.0696,6
"17","CH","veterans","pm25",FALSE,-0.019068385542981,-0.0359406585956032,-0.0258060822118411,-0.015671505828079,-0.0106322490166699,-0.00559299220526082,5.32966666666667,4.8713,4.6841,6.4336,48,56,14,74,624.883,3
"18","CH","veterans","pm25",TRUE,-0.385962772244598,-0.385962772244598,-0.385962772244598,-0.385962772244598,-0.385962772244598,-0.385962772244598,4.6243,4.6243,4.6243,4.6243,5,5,5,5,14.0211,1
"19","CM","103","pm1",FALSE,-0.0104319627645763,-0.0306306040086603,-0.0124774432248255,-0.00824226313582076,-0.00578548597225164,-0.00059358602912385,28.9672380952381,28.955,5.121,49.967,435.380952380952,361,27,1668,77607.012,21
"20","CM","103","pm1",TRUE,-0.0125631010527867,-0.0435791563279724,-0.0174502981376467,-0.00974994021517022,-0.00388884902438939,0.0249614978065586,26.076,27.5045,3.075,49.871,529.363636363636,372.5,22,1927,69491.9,22
"21","CM","103","pm10",FALSE,-0.0359845874919643,-0.515533040379634,-0.0206864242198727,-0.0104924449283781,-0.00722648722184359,-0.00155940642481423,80.3873793103448,45.9,12.081,615.913,264.620689655172,183,20,891,112270.42,29
"22","CM","103","pm10",TRUE,-0.0804010010283524,-1.22709954521179,-0.0368109349501659,-0.0128863250309986,-0.00392060350170284,0.0219638382424571,109.7735,47.7885,11.442,922.226,364.208333333333,340.5,23,1448,112379.94,24
"23","CM","103","pm25",FALSE,-0.00989091123687869,-0.0415015314376622,-0.0105371704554199,-0.00778899066751003,-0.00446961262110082,-0.00109596992215416,32.2183333333333,29.2055,6.651,74.238,385.041666666667,296.5,22,1662,82995.146,24
"24","CM","103","pm25",TRUE,-0.0075369416135348,-0.0264354045957322,-0.012474260594497,-0.00830000090974048,-0.00162083556346956,0.0251435107321978,30.1735454545455,22.4165,3.98,97.142,517,347.5,34,2217,90575.604,22
"25","CM","104","pm1",FALSE,-0.00850709164812143,-0.034053378051015,-0.00853107004547859,-0.00632178968106039,-0.00339883834093046,-0.00110786107748347,19.25605,12.9495,5.076,49.993,339,317.5,54,1003,48391.102,20
"26","CM","104","pm1",TRUE,-0.0156007688893169,-0.0414198706188232,-0.0236337332402601,-0.0115229942591355,-0.00523057749567026,-0.00054448783381177,18.19356,10.228,3.127,49.948,489.2,360,29,1811,41891.132,25
"27","CM","104","pm10",FALSE,-0.0499072710284334,-0.213097701004499,-0.0692665590529249,-0.0143091419462529,-0.00734800646378821,-0.00209253957616271,117.55585,64.188,18.356,465.626,259.65,270,22,837,90481.432,20
"28","CM","104","pm10",TRUE,-0.162126173968153,-1.0756807122653,-0.092900391645774,-0.0238624197319063,-0.00901074046535308,0.00615668745434304,97.8569714285714,48.292,9.669,429.297,251.314285714286,143,23,1231,112445.87,35
"29","CM","104","pm25",FALSE,-0.0105954350806922,-0.0336620877567263,-0.0153359012766351,-0.00629314808191763,-0.0046139775064403,-0.00117560769954704,26.7162105263158,15.985,6.515,92.828,344.842105263158,357,40,988,56807.522,19
"30","CM","104","pm25",TRUE,-0.0173285341174847,-0.0559492376810284,-0.0256140857354215,-0.0132142777977293,-0.00539046239969644,-0.0009112900839527,23.7395185185185,10.553,3.899,96.758,430.703703703704,192,25,1811,51389.032,27
"31","CM","105","pm1",FALSE,-0.00799598976107129,-0.0257881483010647,-0.00878336393559223,-0.00680329730676379,-0.00384823525871105,-0.0001050708837115,12.8338571428571,12.486,5.114,24.059,328.428571428571,248.5,56,1215,23579.659,14
"32","CM","105","pm1",TRUE,-0.0281370900672799,-0.0988485027093008,-0.0256458099839391,-0.0221579318316157,-0.0176238163846869,-0.00773564090732019,17.6298181818182,10.219,3.705,49.572,152.454545454545,107,41,682,6710.376,11
"33","CM","105","pm10",FALSE,-0.177072605405338,-1.76707929487704,-0.156830768920152,-0.0355800227570387,-0.0111831643279702,-0.00120568883762465,111.046,55.4365,14.703,640.581,131.038461538462,95.5,20,551,46386.661,26
"34","CM","105","pm10",TRUE,-0.0518576011436701,-0.18676185981039,-0.0679693315081079,-0.031957091380836,-0.0247783257988632,-0.0145155577307264,66.8453333333333,46.276,17.066,167.911,90.6190476190476,56,20,460,29671.043,21
"35","CM","105","pm25",FALSE,-0.00822532270091801,-0.0171481963038912,-0.0119840754986533,-0.0072010482441013,-0.00446127630126024,-0.00148290730523785,17.43125,14.954,6.32,37.883,290.8125,228.5,66,771,26560.073,16
"36","CM","105","pm25",TRUE,-0.0265432800301454,-0.0957703036196359,-0.0281961409189271,-0.0233853453466168,-0.0175935341535464,-0.0110312431811454,22.466,12.766,3.797,98.447,128,88.5,43,617,12851.099,16
"37","CM","207","pm1",FALSE,-0.0108780550587782,-0.0782564340209443,-0.00962866702885944,-0.00773574859911279,-0.00470051580078313,-0.00084522640702885,27.31525,16.641,5.645,49.991,560.9,370.5,28,2631,66994.799,20
"38","CM","207","pm1",TRUE,-0.0314694885488411,-0.0914516435258385,-0.0374561981001042,-0.0291626522798545,-0.0223478451404878,-0.00195442627773242,12.6507142857143,5.606,3.15,49.233,128.761904761905,74,21,868,9890.179,21
"39","CM","207","pm10",FALSE,-0.0205071800715074,-0.111047908208637,-0.0233417107333654,-0.0152330418080818,-0.009657256595771,-0.0061985102651916,124.711148148148,49.219,13.988,753.867,248.814814814815,205,24,682,113786.078,27
"40","CM","207","pm10",TRUE,-0.203742222460447,-1.25790432686586,-0.190974861626958,-0.0883201852063863,-0.0373864171621565,-0.0005298788175891,90.7823529411765,36.961,13.552,451.434,108.058823529412,53,22,716,20207.66,17
"41","CM","207","pm25",FALSE,-0.0125016974755825,-0.0776592005311393,-0.0124006770116974,-0.00792624537353856,-0.00610628815591976,-0.0015003979652339,41.7405263157895,20.395,7.644,97.84,514.473684210526,296,26,2595,82788.398,19
"42","CM","207","pm25",TRUE,-0.0280697962740595,-0.0513809734841321,-0.037185560253883,-0.0308977030993898,-0.019957178933349,-0.0007741059589266,15.7585714285714,6.667,3.646,76.677,126.571428571429,72,26,862,12494.349,21
"43","CM","209","pm1",FALSE,-0.0127278339171974,-0.0342888070816091,-0.014352943891543,-0.0097665494413436,-0.00535456876339493,-0.00126514233951209,14.4515,7.918,5.182,44.636,206.571428571429,182.5,28,591,11387.215,14
"44","CM","209","pm1",TRUE,-0.0138674895893624,-0.0683010194659108,-0.0132711885961415,-0.00660908693712032,-0.00340275447888588,-0.00075806681042104,16.9353571428571,6.7625,3.142,49.431,356.428571428571,306,102,642,16937.466,14
"45","CM","209","pm10",FALSE,-0.0416418344008493,-0.129785673740903,-0.054175038219276,-0.0362108016465863,-0.0246356310969341,-0.00164099146322616,58.0629090909091,44.9595,14.75,198.623,93.0909090909091,72,20,392,19581.012,22
"46","CM","209","pm10",TRUE,-0.02700130906817,-0.0970837846438041,-0.0385487449651791,-0.0244074324623632,-0.00722581992811651,-0.00205491527296763,52.1127333333333,43.409,18.46,95.095,165.4,131,37,409,25724.179,15
"47","CM","209","pm25",FALSE,-0.0147589141681599,-0.045169065458523,-0.0152346080010218,-0.0120540752841273,-0.00732930583274851,-0.00112106057501951,17.1998666666667,9.759,6.731,58.683,173.8,134,49,719,13615.236,15
"48","CM","209","pm25",TRUE,-0.016969062923862,-0.0633855715182364,-0.0194547512421566,-0.00951712473201819,-0.00393538207817062,-0.00193224614939392,17.3640625,6.7915,3.901,59.866,289.1875,250,46,719,19505.428,16
"49","CM","210","pm1",FALSE,-0.00666855521143974,-0.0110671456942773,-0.00936280968956108,-0.00807178852100961,-0.0035974039836324,-0.00099891561349324,49.7785454545455,49.921,48.876,49.991,772.454545454545,501,180,2542,87193.718,11
"50","CM","210","pm1",TRUE,-0.0164959262056936,-0.0318444505225731,-0.0276839311122791,-0.0174303343204274,-0.00387186883920798,-0.00106460814210492,48.4092647058824,49.7945,24.484,49.997,352.029411764706,230.5,125,909,160695.086,34
"51","CM","210","pm10",FALSE,-0.0553223026915033,-0.733350457006369,-0.010170824761529,-0.00932097367532517,-0.00817460687278968,-0.00071496360546379,70.0557058823529,68.057,20.818,129.624,455.117647058824,417,237,1185,99105.243,17
"52","CM","210","pm10",TRUE,-0.0188290404784296,-0.0461924069130085,-0.0278200927730378,-0.0224360493318793,-0.00870090385777396,-0.00080576871298763,54.5189,54.9435,17.474,74.2,270.675,189.5,97,887,144020.285,40
"53","CM","210","pm25",FALSE,-0.00494496575114649,-0.011083018232006,-0.00799339572259941,-0.00380091793381723,-0.00223247718310505,-0.00087364732738724,50.0423846153846,50.108,49,50.679,640.307692307692,495,168,1398,131967.527,13
"54","CM","210","pm25",TRUE,-0.0156661793721008,-0.0318076479170733,-0.0280031440654648,-0.0149889769262404,-0.00350499955669645,0.00597573833903444,48.2906944444444,50.029,24.617,52.455,330.944444444444,221,123,905,166982.157,36
"55","CM","300","pm1",FALSE,-0.0255817577467642,-0.0616647129820716,-0.0292701721606419,-0.0204204782801896,-0.0153542924710694,-0.00492750388347439,23.8662307692308,20.017,5.646,49.948,96.6153846153846,96,22,230,12042.791,13
"56","CM","300","pm1",TRUE,-0.0191563108153657,-0.105122606273996,-0.0224011477789045,-0.006139218963569,-0.00481356281506594,-0.00208044179323655,8.53865,6.621,3.262,40.712,180.4,143.5,21,681,14070.005,20
"57","CM","300","pm10",FALSE,-0.0481944250804905,-0.190325500648596,-0.057846367736682,-0.0378037739850165,-0.0239296339467355,-0.00624728726909444,129.573916666667,60.424,15.427,986.04,97.4166666666667,79.5,23,245,52038.086,24
"58","CM","300","pm10",TRUE,-0.0783628140057633,-0.989826186757215,-0.0665516554469323,-0.0324540369159092,-0.0136561342360325,-0.00541693537168443,74.9539696969697,49.322,19.209,547.079,130.060606060606,83,22,536,53064.277,33
"59","CM","300","pm25",FALSE,-0.0252692529535322,-0.0575117258507423,-0.0308928291825881,-0.0257092617779933,-0.0145626082468472,-0.00611047860095416,38.7412857142857,22.2435,6.252,98.391,133.928571428571,150.5,22,238,20351.372,14
"60","CM","300","pm25",TRUE,-0.0180225130133627,-0.0944154235485545,-0.0147593787866836,-0.0074504882324895,-0.00508051638001071,0.00028830056926635,12.8387826086957,8.791,3.654,57.428,192.478260869565,183,22,687,22223.266,23
"61","CM","301","pm1",FALSE,-0.00528308603596184,-0.0216753813925432,-0.00402947061639602,-0.00178604356852242,-0.00159328913479085,-0.00014473039694879,6.9125,7.123,5.63,7.797,311,338,55,456,6476.531,6
"62","CM","301","pm1",TRUE,-0.00417436389120708,-0.0246607058249753,-0.00405361599612369,-0.0012914714711592,-0.00036743172083501,-0.00022976863121151,10.1204444444444,7.237,3.417,21.677,1212.55555555556,918,102,3391,22455.983,9
"63","CM","301","pm10",FALSE,-0.045176519197565,-0.14721676747154,-0.0696500531521599,-0.0197001754536691,-0.0113620809016485,-0.00148598531165946,36.9981875,32.0685,17.598,103.31,103.9375,42,20,358,13478.27,16
"64","CM","301","pm10",TRUE,-0.0790432637842658,-0.503991574833616,-0.0427284632658815,-0.0124940992402227,-0.00633349452628707,0.0436160034780978,28.9754285714286,26.133,10.974,65.237,303.238095238095,236,20,1855,30736.449,21
"65","CM","301","pm25",FALSE,-0.00634923237355633,-0.0205166449081785,-0.00624938473252724,-0.00388168134507338,-0.00185917685515229,-0.00159175875615559,8.67233333333333,8.7725,6.361,11.902,278.833333333333,292,55,445,7640.509,6
"66","CM","301","pm25",TRUE,-0.00626068285804806,-0.02405904987796,-0.0060200965029286,-0.00154471080147323,-0.00126060583046226,-0.00032198387659544,11.178,10.207,3.798,21.677,1222.875,1020,49,3324,22697.871,8
"67","CM","303","pm1",FALSE,-0.0114140568696269,-0.0313884395266307,-0.0145122012066531,-0.0103760653459867,-0.00864656456055807,-0.00387273780829519,36.23148,47.912,5.745,49.937,324.96,309,24,777,77449.977,25
"68","CM","303","pm1",TRUE,-0.0140871361885855,-0.0418954091922397,-0.0185977836190628,-0.0101865645173406,-0.00790296590792221,-0.00104431218147305,34.1583333333333,37.4265,7.585,49.632,490.166666666667,400,120,1347,41799.447,12
"69","CM","303","pm10",FALSE,-0.0356455947113659,-0.194051328352868,-0.0501271885010964,-0.0191493402052609,-0.0116749214076898,-0.00200044185489171,205.371277777778,109.04,31.935,992.354,244.972222222222,280.5,21,678,267329.993,36
"70","CM","303","pm10",TRUE,-0.0586970112112799,-0.543072451180276,-0.0310078615457475,-0.0189558214022136,-0.0130109871671996,-0.00187559002383343,179.783142857143,127.636,28.999,566.04,353.857142857143,323,24,1030,110646.764,14
"71","CM","303","pm25",FALSE,-0.0108911527492188,-0.0207763726734916,-0.0144821198582179,-0.0106144639915969,-0.00789905262982844,-0.00413480381778172,54.73596,61.754,6.711,97.038,359.4,343,61,770,113213.207,25
"72","CM","303","pm25",TRUE,-0.0145033708008112,-0.0429501601242614,-0.0197671897810546,-0.011253771557058,-0.0042677834147585,-0.00127534693671212,56.6593333333333,70.9405,8.437,97.728,484.75,406.5,117,1327,65002.362,12
"73","CM","308","pm1",FALSE,-0.012413581975888,-0.101139564654588,-0.0106666916653713,-0.00748218304815082,-0.00539917129258255,-0.00111669913487386,19.5511304347826,11.924,5.164,49.935,258,213,22,645,39936.379,23
"74","CM","308","pm1",TRUE,-0.0305901162934392,-0.0579400700407451,-0.0434837667715604,-0.0275630484896804,-0.0247818258487583,-0.00244813893540217,15.8969,7.0235,3.331,49.178,133.35,81,27,535,11699.218,20
"75","CM","308","pm10",FALSE,-0.0749327744924941,-0.759999482286312,-0.0506364951373642,-0.0221189106676828,-0.0129423067186784,0.0228519122799638,151.246384615385,53.688,18.381,897.555,184.487179487179,127,20,489,140275.064,39
"76","CM","308","pm10",TRUE,-0.0688865949647405,-0.28487496349314,-0.080635952840225,-0.0590208907664029,-0.0264470927294732,-0.00461010653114906,101.504088235294,63.3665,13.134,479.657,101.705882352941,72.5,20,361,53680.874,34
"77","CM","308","pm25",FALSE,-0.00997195131444016,-0.0803595222252876,-0.00818850125083902,-0.00678822285219029,-0.00554497249876288,-0.00198972940026237,27.6401111111111,12.473,5.989,99.871,280.074074074074,222,34,1213,67515.379,27
"78","CM","308","pm25",TRUE,-0.0287643946448995,-0.0588966711368049,-0.0359085918253359,-0.0271494834855887,-0.0197079652210101,-0.00239642878122457,18.1414516129032,7.036,3.676,76.868,120.387096774194,89,20,535,17493.14,31
"79","CM","400","pm1",FALSE,-0.0165170387693881,-0.0587981794795972,-0.0201758800468498,-0.0147335171195165,-0.00498983546200335,-0.00251058966594609,24.5118125,14.2955,5.15,49.931,233.375,178.5,29,762,22673.424,16
"80","CM","400","pm1",TRUE,-0.0259902252671196,-0.0582479237791527,-0.037191545241766,-0.0257464981876745,-0.00933980490611068,-0.00128546400784389,21.75356,10.309,3.206,49.907,250.84,184,22,926,22189.857,25
"81","CM","400","pm10",FALSE,-0.0486663792327519,-0.198203593606137,-0.067379812488901,-0.0314022042186504,-0.00931671863671297,-0.0022334596221125,76.1133333333333,50.86,18.4,244.271,175.833333333333,130,20,678,35808.851,18
"82","CM","400","pm10",TRUE,-0.0998813580633882,-1.41137027227406,-0.0647586958062943,-0.0372006837845789,-0.0194786446869765,-0.00760772907612787,77.8060714285714,51.348,11.201,291.676,170.142857142857,107.5,21,937,44787.183,28
"83","CM","400","pm25",FALSE,-0.0149936561306157,-0.0494922913622941,-0.0161864537044823,-0.0138176283324999,-0.00802326491251992,-0.00391032211077367,35.2955333333333,23.547,9.244,82.169,259.266666666667,175,39,770,28693.183,15
"84","CM","400","pm25",TRUE,-0.0243706026745809,-0.0560679450255051,-0.0372428903057647,-0.0237119946892055,-0.00924561992212939,-0.00318547407009933,29.3199130434783,22.245,4.118,85.617,292.391304347826,269,33,966,25387.058,23
"85","CM","402","pm1",FALSE,-0.00870886960422054,-0.0189369055933037,-0.0119330148718814,-0.00818843923645235,-0.00621378282278693,-0.0016788344983816,27.3049230769231,21.486,5.785,49.924,346.384615384615,304,89,774,40716.449,13
"86","CM","402","pm1",TRUE,-0.025022189013355,-0.0607150218546582,-0.0295345149078776,-0.0237804025652566,-0.0174455946187884,-0.00343808342014381,18.5942121212121,9.443,3.21,49.899,145,133,28,456,27712.788,33
"87","CM","402","pm10",FALSE,-0.0703121884400059,-0.507223828298523,-0.0252885601668123,-0.011673164164509,-0.00955984585862495,-0.00745928112192162,84.685625,78.8485,29.582,171.424,273,241,28,792,54660.769,16
"88","CM","402","pm10",TRUE,-0.0579455309175891,-0.669613880137945,-0.0504854081497378,-0.0307870473867119,-0.0191272558085948,-0.00205866811764119,55.8026764705882,36.9,13.103,282.601,133.852941176471,106.5,23,410,53261.964,34
"89","CM","402","pm25",FALSE,-0.00888753612507815,-0.016678566277266,-0.0113904354613457,-0.00857620706136298,-0.00640771423635666,-0.00209576103653497,34.3288461538462,30.482,7.376,79.89,362.692307692308,346,99,774,51351.289,13
"90","CM","402","pm25",TRUE,-0.0226944681034578,-0.0513275193296302,-0.0273883699966195,-0.0232529906508523,-0.0164520529450852,-0.00363140787844151,23.3799117647059,12.112,3.726,98.346,156.323529411765,137.5,31,436,35623.047,34
"91","CM","407","pm1",FALSE,-0.00346795578422731,-0.0117743772148899,-0.00481356193335723,-0.00204908839900887,-0.00162632955767053,-0.00042562943218322,25.8200588235294,19.587,5.424,49.741,913.823529411765,815,166,3998,109607.356,17
"92","CM","407","pm1",TRUE,-0.0135897077893717,-0.0374640140349564,-0.0186563979913258,-0.0107992841099694,-0.00729424561066669,-0.00131682969828347,16.5066875,8.2475,3.191,49.877,265.71875,215,61,1030,29144.267,32
"93","CM","407","pm10",FALSE,-0.0183453284876653,-0.219904099116053,-0.0167372075347189,-0.00809031383176696,-0.00356050704975541,-0.00046636009980496,83.2694814814815,46.352,13.606,441.247,430.296296296296,369,39,1228,136811.185,27
"94","CM","407","pm10",TRUE,-0.0303013773837485,-0.101211226713016,-0.0388425729159731,-0.0255132022164185,-0.015257452053445,0.0016410777281926,70.6195833333333,48.7785,10.959,394.649,175.722222222222,154,31,910,59132.893,36
"95","CM","407","pm25",FALSE,-0.00410022734269907,-0.014093971106339,-0.00536295733033348,-0.00320550917801505,-0.00164009483146236,-0.00014479211859658,32.8404210526316,18.033,6.604,98.139,788.421052631579,679,150,3186,127175.35,19
"96","CM","407","pm25",TRUE,-0.0139975169922226,-0.0375721131399611,-0.0206144794082259,-0.0127173457361111,-0.00538330530698532,0.00022636764577252,23.4993,9.6195,3.803,83.894,271.566666666667,233.5,72,1030,37336.636,30
"97","CM","408","pm1",FALSE,-0.0112965822701901,-0.0480521536211084,-0.0155898959963291,-0.00587221074576729,-0.00416311921550089,-0.00075290256628942,23.3878461538462,16.636,5.095,49.958,353.384615384615,260,60,878,57907.851,26
"98","CM","408","pm1",TRUE,-0.0293215659448799,-0.0667434982836038,-0.0451981804509696,-0.0269667137511842,-0.00955302385903016,-0.00328986223687042,20.8676956521739,10.138,3.138,49.589,174.260869565217,103,28,951,16168.004,23
"99","CM","408","pm10",FALSE,-0.0341955586101319,-0.121093513682746,-0.0536357808768877,-0.0242573578344206,-0.00950724432302117,-0.00019880610474809,129.974085714286,67.595,11.698,695.812,213.942857142857,118,22,618,133730.857,35
"100","CM","408","pm10",TRUE,-0.0564731821685495,-0.256309059859795,-0.0795811176132955,-0.0540051075810616,-0.0203167435760355,0.00143375843384923,97.7588378378378,46.565,18.098,560.483,127.648648648649,84,21,473,68298.746,37
"101","CM","408","pm25",FALSE,-0.0130896486891265,-0.0443910571148375,-0.016207602451083,-0.0124481642125669,-0.00498519434362221,-0.00087732122595367,30.4306666666667,23.946,6.322,79.182,338.814814814815,358,60,725,65970.794,27
"102","CM","408","pm25",TRUE,-0.029592017201787,-0.0632448232114757,-0.0464447737451584,-0.0301069756884764,-0.0111778894625485,-0.00426271346667304,27.33732,16.201,3.648,96.646,188.88,116,23,951,21415.78,25
"103","CM","411","pm1",FALSE,-0.010444966292735,-0.0714808860687152,-0.0101458746913237,-0.00557776902677245,-0.00296190172048984,-0.00060107040118511,17.3908181818182,9.0385,5.332,49.974,379.681818181818,267,50,1992,51396.22,22
"104","CM","411","pm1",TRUE,-0.0466417219266357,-0.1098377372366,-0.0655258651586483,-0.047931404990477,-0.0201615593592706,-0.0031877238675141,16.2885882352941,6.149,3.319,48.232,126.882352941176,60,21,855,8154.61,17
"105","CM","411","pm10",FALSE,-0.0645253177493769,-0.506690208869238,-0.0738951042118693,-0.0231648994549687,-0.00888887879015763,-0.00222143808384953,78.2118709677419,45.965,11.718,571.69,220.322580645161,159,22,789,75086.274,31
"106","CM","411","pm10",TRUE,-0.0908786652418609,-0.538293595527948,-0.11094707989475,-0.0571389064022749,-0.0250260626968231,0.0160822293760917,76.5475652173913,45.843,21.43,488.362,93.1739130434783,57,20,302,23164.855,23
"107","CM","411","pm25",FALSE,-0.0131163300730353,-0.066837636693374,-0.0125304055528253,-0.00737425624794465,-0.00426999770931319,-0.0013941020894941,23.1357307692308,12.5605,6.003,93.595,323.076923076923,197,21,1635,53853.722,26
"108","CM","411","pm25",TRUE,-0.0354453458454942,-0.0705558295145496,-0.0557812261829526,-0.0291022147487661,-0.0194060158877464,-0.00242938235157593,25.6228235294118,9.643,3.999,98.993,137.588235294118,90,20,858,12366.465,17
"109","CM","500","pm1",FALSE,-0.014525188126312,-0.0393717048688345,-0.0211245439658351,-0.0125601031278478,-0.00645386773566241,-0.00020627678418903,16.36375,7.274,5.085,48.202,148.458333333333,112,39,592,15309.499,24
"110","CM","500","pm1",TRUE,-0.0263843962233572,-0.17076893130874,-0.0458391682781151,-0.00836895161659051,-0.00221063991162567,0.00060078282927275,16.0436666666667,8.1485,3.131,48.849,359.805555555556,301,46,1586,32571.33,36
"111","CM","500","pm10",FALSE,-0.10429036790613,-0.371002788296683,-0.168227540097568,-0.0600979156574079,-0.0265514950003129,-0.00684665067628583,61.2994615384615,55.0915,13.448,150.62,64.8846153846154,39,22,159,21447.007,26
"112","CM","500","pm10",TRUE,-0.218141610309148,-2.66144264232835,-0.117105520163816,-0.068876384096565,-0.0490065664413384,-0.0005104995188965,70.7089772727273,40.19,8.174,379.863,113.386363636364,60.5,22,629,41886.746,44
"113","CM","500","pm25",FALSE,-0.0198234062150228,-0.0392255307868336,-0.0279047485761591,-0.0181254864674682,-0.0121217721637084,-0.00331512441820582,24.2024761904762,11.342,6.396,71.219,124.047619047619,113,45,326,18023.82,21
