"","x","y","r","case","participant_id","environment","place_id"
"1","pm1","pm25",0.994984468371067,"off","business","indoor","RH"
"2","pm1","pm10",0.681603220999541,"off","business","indoor","RH"
"3","pm1","pm1num",0.884966781011385,"off","business","indoor","RH"
"4","pm1","concent",0.594516438780064,"off","business","indoor","RH"
"5","pm25","pm10",0.716693831554784,"off","business","indoor","RH"
"6","pm25","pm1num",0.892173191371483,"off","business","indoor","RH"
"7","pm25","concent",0.593308605435137,"off","business","indoor","RH"
"8","pm10","pm1num",0.655270770897129,"off","business","indoor","RH"
"9","pm10","concent",0.416737525486152,"off","business","indoor","RH"
"10","pm1num","concent",0.510104389883107,"off","business","indoor","RH"
"11","pm1","pm25",0.996069238816736,"off","class120","indoor","RH"
"12","pm1","pm10",0.893242708411823,"off","class120","indoor","RH"
"13","pm1","pm1num",0.308044526182726,"off","class120","indoor","RH"
"14","pm1","concent",0.659186340175343,"off","class120","indoor","RH"
"15","pm25","pm10",0.906484943077439,"off","class120","indoor","RH"
"16","pm25","pm1num",0.303799037875969,"off","class120","indoor","RH"
"17","pm25","concent",0.667300619976399,"off","class120","indoor","RH"
"18","pm10","pm1num",0.30102125071559,"off","class120","indoor","RH"
"19","pm10","concent",0.61868930728463,"off","class120","indoor","RH"
"20","pm1num","concent",0.447279912829171,"off","class120","indoor","RH"
"21","pm1","pm25",0.996920869436075,"off","class210","indoor","RH"
"22","pm1","pm10",0.793370436920607,"off","class210","indoor","RH"
"23","pm1","pm1num",0.960029164448855,"off","class210","indoor","RH"
"24","pm1","concent",0.258581002662294,"off","class210","indoor","RH"
"25","pm25","pm10",0.807825170207061,"off","class210","indoor","RH"
"26","pm25","pm1num",0.960852486074299,"off","class210","indoor","RH"
"27","pm25","concent",0.266719803901023,"off","class210","indoor","RH"
"28","pm10","pm1num",0.758357132115196,"off","class210","indoor","RH"
"29","pm10","concent",0.226845821910959,"off","class210","indoor","RH"
"30","pm1num","concent",0.267078560783903,"off","class210","indoor","RH"
"31","pm1","pm25",0.991864568378787,"off","classc11","indoor","RH"
"32","pm1","pm10",0.802586368114498,"off","classc11","indoor","RH"
"33","pm1","pm1num",0.961794752254816,"off","classc11","indoor","RH"
"34","pm1","concent",0.526900766089143,"off","classc11","indoor","RH"
"35","pm25","pm10",0.825419916180822,"off","classc11","indoor","RH"
"36","pm25","pm1num",0.96775302286902,"off","classc11","indoor","RH"
"37","pm25","concent",0.568653900475173,"off","classc11","indoor","RH"
"38","pm10","pm1num",0.796455950831696,"off","classc11","indoor","RH"
"39","pm10","concent",0.535173586767267,"off","classc11","indoor","RH"
"40","pm1num","concent",0.561240294846437,"off","classc11","indoor","RH"
"41","pm1","pm25",0.983549515064567,"off","principal","indoor","RH"
"42","pm1","pm10",0.351823635402558,"off","principal","indoor","RH"
"43","pm1","pm1num",0.88341253680139,"off","principal","indoor","RH"
"44","pm1","concent",0.461529508934496,"off","principal","indoor","RH"
"45","pm25","pm10",0.41821902287837,"off","principal","indoor","RH"
"46","pm25","pm1num",0.882323378679053,"off","principal","indoor","RH"
"47","pm25","concent",0.446534878214141,"off","principal","indoor","RH"
"48","pm10","pm1num",0.320287134709242,"off","principal","indoor","RH"
"49","pm10","concent",0.191271495334364,"off","principal","indoor","RH"
"50","pm1num","concent",0.36806565681493,"off","principal","indoor","RH"
"51","pm1","pm25",0.98095107075034,"off","superintendent","indoor","RH"
"52","pm1","pm10",0.410765052018601,"off","superintendent","indoor","RH"
"53","pm1","pm1num",0.905124488738045,"off","superintendent","indoor","RH"
"54","pm1","concent",0.341410992128038,"off","superintendent","indoor","RH"
"55","pm25","pm10",0.54721703520285,"off","superintendent","indoor","RH"
"56","pm25","pm1num",0.905159650120635,"off","superintendent","indoor","RH"
"57","pm25","concent",0.372559167877326,"off","superintendent","indoor","RH"
"58","pm10","pm1num",0.426679564203942,"off","superintendent","indoor","RH"
"59","pm10","concent",0.305893314710628,"off","superintendent","indoor","RH"
"60","pm1num","concent",0.355015262152329,"off","superintendent","indoor","RH"
"61","pm1","pm25",0.987593331573547,"off","auditor","indoor","CH"
"62","pm1","pm10",0.966071569219452,"off","auditor","indoor","CH"
"63","pm1","pm1num",0.968199361074407,"off","auditor","indoor","CH"
"64","pm1","concent",0.551361007989135,"off","auditor","indoor","CH"
"65","pm25","pm10",0.983359997313335,"off","auditor","indoor","CH"
"66","pm25","pm1num",0.98477764952721,"off","auditor","indoor","CH"
"67","pm25","concent",0.503421279984171,"off","auditor","indoor","CH"
"68","pm10","pm1num",0.967697712542935,"off","auditor","indoor","CH"
"69","pm10","concent",0.506914843219913,"off","auditor","indoor","CH"
"70","pm1num","concent",0.485394986749269,"off","auditor","indoor","CH"
"71","pm1","pm25",0.937246907498118,"off","mainroom","indoor","CH"
"72","pm1","pm10",-0.1687002904177,"off","mainroom","indoor","CH"
"73","pm1","pm1num",0.69518446217165,"off","mainroom","indoor","CH"
"74","pm1","concent",-0.66473350461194,"off","mainroom","indoor","CH"
"75","pm25","pm10",0.0788120679078864,"off","mainroom","indoor","CH"
"76","pm25","pm1num",0.698448378594798,"off","mainroom","indoor","CH"
"77","pm25","concent",-0.563175356357731,"off","mainroom","indoor","CH"
"78","pm10","pm1num",-0.041437909599834,"off","mainroom","indoor","CH"
"79","pm10","concent",0.238966617980794,"off","mainroom","indoor","CH"
"80","pm1num","concent",-0.313929003827885,"off","mainroom","indoor","CH"
"81","pm1","pm25",0.996724941651655,"off","waterdept","indoor","CH"
"82","pm1","pm10",0.860855095392826,"off","waterdept","indoor","CH"
"83","pm1","pm1num",0.909636641327932,"off","waterdept","indoor","CH"
"84","pm1","concent",0.563985553282352,"off","waterdept","indoor","CH"
"85","pm25","pm10",0.890445471104077,"off","waterdept","indoor","CH"
"86","pm25","pm1num",0.914064594404402,"off","waterdept","indoor","CH"
"87","pm25","concent",0.605397717008184,"off","waterdept","indoor","CH"
"88","pm10","pm1num",0.830564185211837,"off","waterdept","indoor","CH"
"89","pm10","concent",0.715977714986656,"off","waterdept","indoor","CH"
"90","pm1num","concent",0.560075690685765,"off","waterdept","indoor","CH"
"91","pm1","pm25",0.956645534918059,"off","class2","indoor","LF"
"92","pm1","pm10",0.715253694870154,"off","class2","indoor","LF"
"93","pm1","pm1num",0.944983380157186,"off","class2","indoor","LF"
"94","pm1","concent",0.0368701799646524,"off","class2","indoor","LF"
"95","pm25","pm10",0.837873505965347,"off","class2","indoor","LF"
"96","pm25","pm1num",0.963636845468274,"off","class2","indoor","LF"
"97","pm25","concent",0.131085332962729,"off","class2","indoor","LF"
"98","pm10","pm1num",0.770082711980822,"off","class2","indoor","LF"
"99","pm10","concent",0.130996177864971,"off","class2","indoor","LF"
"100","pm1num","concent",0.0916034502125128,"off","class2","indoor","LF"
"101","pm1","pm25",0.963507215403106,"off","class4","indoor","LF"
"102","pm1","pm10",0.73700833917534,"off","class4","indoor","LF"
"103","pm1","pm1num",0.973684665919926,"off","class4","indoor","LF"
"104","pm1","concent",0.133503321718093,"off","class4","indoor","LF"
"105","pm25","pm10",0.838824247361562,"off","class4","indoor","LF"
"106","pm25","pm1num",0.974093029270313,"off","class4","indoor","LF"
"107","pm25","concent",0.269229204505532,"off","class4","indoor","LF"
"108","pm10","pm1num",0.750344206733552,"off","class4","indoor","LF"
"109","pm10","concent",0.286115365721402,"off","class4","indoor","LF"
"110","pm1num","concent",0.216700700021561,"off","class4","indoor","LF"
"111","pm1","pm25",0.953129063315723,"off","infant","indoor","SS"
"112","pm1","pm10",0.307352510373778,"off","infant","indoor","SS"
"113","pm1","pm1num",0.494573891758221,"off","infant","indoor","SS"
"114","pm1","concent",0.29252933212204,"off","infant","indoor","SS"
"115","pm25","pm10",0.481976283869918,"off","infant","indoor","SS"
"116","pm25","pm1num",0.585214054685137,"off","infant","indoor","SS"
"117","pm25","concent",0.319356571506212,"off","infant","indoor","SS"
"118","pm10","pm1num",0.369106305350205,"off","infant","indoor","SS"
"119","pm10","concent",0.218347946503916,"off","infant","indoor","SS"
"120","pm1num","concent",0.222723025681499,"off","infant","indoor","SS"
"121","pm1","pm25",0.972267796768385,"off","preschool","indoor","SS"
"122","pm1","pm10",0.195922023377817,"off","preschool","indoor","SS"
"123","pm1","pm1num",0.488531160175087,"off","preschool","indoor","SS"
"124","pm1","concent",0.140231702373088,"off","preschool","indoor","SS"
"125","pm25","pm10",0.283009085023569,"off","preschool","indoor","SS"
"126","pm25","pm1num",0.546203492554106,"off","preschool","indoor","SS"
"127","pm25","concent",0.154511778669588,"off","preschool","indoor","SS"
"128","pm10","pm1num",0.0426026036689009,"off","preschool","indoor","SS"
"129","pm10","concent",0.080179304592142,"off","preschool","indoor","SS"
"130","pm1num","concent",0.100688093160828,"off","preschool","indoor","SS"
"131","pm1","pm25",0.976498772991766,"off","all","indoor","all"
"132","pm1","pm10",0.755478633978276,"off","all","indoor","all"
"133","pm1","pm1num",0.864017126829406,"off","all","indoor","all"
"134","pm1","concent",0.273890388210006,"off","all","indoor","all"
"135","pm25","pm10",0.836530026180206,"off","all","indoor","all"
"136","pm25","pm1num",0.889966354075814,"off","all","indoor","all"
"137","pm25","concent",0.320869188957397,"off","all","indoor","all"
"138","pm10","pm1num",0.726335170607827,"off","all","indoor","all"
"139","pm10","concent",0.316364087334995,"off","all","indoor","all"
"140","pm1num","concent",0.287216313476707,"off","all","indoor","all"
"141","pm1","pm25",0.999273108598935,"on","business","indoor","RH"
"142","pm1","pm10",0.945536925941566,"on","business","indoor","RH"
"143","pm1","pm1num",0.993286360842868,"on","business","indoor","RH"
"144","pm1","concent",0.850176245990424,"on","business","indoor","RH"
"145","pm25","pm10",0.950854833504846,"on","business","indoor","RH"
"146","pm25","pm1num",0.993152837050606,"on","business","indoor","RH"
"147","pm25","concent",0.853516968439777,"on","business","indoor","RH"
"148","pm10","pm1num",0.939866788883504,"on","business","indoor","RH"
"149","pm10","concent",0.842051365844644,"on","business","indoor","RH"
"150","pm1num","concent",0.844183247448455,"on","business","indoor","RH"
"151","pm1","pm25",0.997107512996886,"on","class120","indoor","RH"
"152","pm1","pm10",0.903040849745787,"on","class120","indoor","RH"
"153","pm1","pm1num",-0.043861015343403,"on","class120","indoor","RH"
"154","pm1","concent",0.147036347688215,"on","class120","indoor","RH"
"155","pm25","pm10",0.919380374147186,"on","class120","indoor","RH"
"156","pm25","pm1num",-0.0203574386670423,"on","class120","indoor","RH"
"157","pm25","concent",0.192042274949009,"on","class120","indoor","RH"
"158","pm10","pm1num",0.0194908616529884,"on","class120","indoor","RH"
"159","pm10","concent",0.31760313682026,"on","class120","indoor","RH"
"160","pm1num","concent",0.229232665529903,"on","class120","indoor","RH"
"161","pm1","pm25",0.99382319242503,"on","class210","indoor","RH"
"162","pm1","pm10",0.800387132807107,"on","class210","indoor","RH"
"163","pm1","pm1num",0.882606343120002,"on","class210","indoor","RH"
"164","pm1","concent",0.423298249055435,"on","class210","indoor","RH"
"165","pm25","pm10",0.82645482098918,"on","class210","indoor","RH"
"166","pm25","pm1num",0.893903052565173,"on","class210","indoor","RH"
"167","pm25","concent",0.431997157895123,"on","class210","indoor","RH"
"168","pm10","pm1num",0.737550867403046,"on","class210","indoor","RH"
"169","pm10","concent",0.346843550616116,"on","class210","indoor","RH"
"170","pm1num","concent",0.324150690698085,"on","class210","indoor","RH"
"171","pm1","pm25",0.995615409051457,"on","classc11","indoor","RH"
"172","pm1","pm10",0.787984891143073,"on","classc11","indoor","RH"
"173","pm1","pm1num",0.935717895959181,"on","classc11","indoor","RH"
"174","pm1","concent",0.231815358674996,"on","classc11","indoor","RH"
"175","pm25","pm10",0.820795025474752,"on","classc11","indoor","RH"
"176","pm25","pm1num",0.938232376714498,"on","classc11","indoor","RH"
"177","pm25","concent",0.238305040960183,"on","classc11","indoor","RH"
"178","pm10","pm1num",0.737900777879593,"on","classc11","indoor","RH"
"179","pm10","concent",0.250259757388397,"on","classc11","indoor","RH"
"180","pm1num","concent",0.30435690563439,"on","classc11","indoor","RH"
"181","pm1","pm25",0.996549141463055,"on","principal","indoor","RH"
"182","pm1","pm10",0.614728368783606,"on","principal","indoor","RH"
"183","pm1","pm1num",0.943581270004549,"on","principal","indoor","RH"
"184","pm1","concent",0.0937427956530351,"on","principal","indoor","RH"
"185","pm25","pm10",0.630292121857981,"on","principal","indoor","RH"
"186","pm25","pm1num",0.942526151887327,"on","principal","indoor","RH"
"187","pm25","concent",0.106756894757782,"on","principal","indoor","RH"
"188","pm10","pm1num",0.583902183840077,"on","principal","indoor","RH"
"189","pm10","concent",0.137108352495503,"on","principal","indoor","RH"
"190","pm1num","concent",0.0812904343244147,"on","principal","indoor","RH"
"191","pm1","pm25",0.99183129967586,"on","superintendent","indoor","RH"
"192","pm1","pm10",0.465266370892744,"on","superintendent","indoor","RH"
"193","pm1","pm1num",0.975683226027561,"on","superintendent","indoor","RH"
"194","pm1","concent",0.484401552229405,"on","superintendent","indoor","RH"
"195","pm25","pm10",0.560735000194446,"on","superintendent","indoor","RH"
"196","pm25","pm1num",0.967732197846864,"on","superintendent","indoor","RH"
"197","pm25","concent",0.504353244366647,"on","superintendent","indoor","RH"
"198","pm10","pm1num",0.455027269948984,"on","superintendent","indoor","RH"
"199","pm10","concent",0.366140988903985,"on","superintendent","indoor","RH"
"200","pm1num","concent",0.49528721007003,"on","superintendent","indoor","RH"
"201","pm1","pm25",0.990099091765048,"on","auditor","indoor","CH"
"202","pm1","pm10",0.827437592291119,"on","auditor","indoor","CH"
"203","pm1","pm1num",0.958204137615216,"on","auditor","indoor","CH"
"204","pm1","concent",0.529878499569235,"on","auditor","indoor","CH"
"205","pm25","pm10",0.867904691767362,"on","auditor","indoor","CH"
"206","pm25","pm1num",0.97326960185943,"on","auditor","indoor","CH"
"207","pm25","concent",0.519176165243092,"on","auditor","indoor","CH"
"208","pm10","pm1num",0.843356672268926,"on","auditor","indoor","CH"
"209","pm10","concent",0.519289699119059,"on","auditor","indoor","CH"
"210","pm1num","concent",0.484357736399091,"on","auditor","indoor","CH"
"211","pm1","pm25",0.806082044552396,"on","mainroom","indoor","CH"
"212","pm1","pm10",-0.0560087643502046,"on","mainroom","indoor","CH"
"213","pm1","pm1num",0.473831118718527,"on","mainroom","indoor","CH"
"214","pm1","concent",0.0997082443857154,"on","mainroom","indoor","CH"
"215","pm25","pm10",0.279141381406599,"on","mainroom","indoor","CH"
"216","pm25","pm1num",0.472828523634539,"on","mainroom","indoor","CH"
"217","pm25","concent",0.186941755585254,"on","mainroom","indoor","CH"
"218","pm10","pm1num",0.1119059729314,"on","mainroom","indoor","CH"
"219","pm10","concent",0.0186275233943015,"on","mainroom","indoor","CH"
"220","pm1num","concent",0.337720206105941,"on","mainroom","indoor","CH"
"221","pm1","pm25",0.959176596470728,"on","waterdept","indoor","CH"
"222","pm1","pm10",0.557873212493763,"on","waterdept","indoor","CH"
"223","pm1","pm1num",0.714929418979645,"on","waterdept","indoor","CH"
"224","pm1","concent",0.489271639904721,"on","waterdept","indoor","CH"
"225","pm25","pm10",0.727561253424897,"on","waterdept","indoor","CH"
"226","pm25","pm1num",0.675783252950262,"on","waterdept","indoor","CH"
"227","pm25","concent",0.621250478470243,"on","waterdept","indoor","CH"
"228","pm10","pm1num",0.363879026876248,"on","waterdept","indoor","CH"
"229","pm10","concent",0.67778977238282,"on","waterdept","indoor","CH"
"230","pm1num","concent",0.393978617491153,"on","waterdept","indoor","CH"
"231","pm1","pm25",0.929563652600061,"on","class2","indoor","LF"
"232","pm1","pm10",0.220988919209288,"on","class2","indoor","LF"
"233","pm1","pm1num",0.740493938991933,"on","class2","indoor","LF"
"234","pm1","concent",0.150485926351529,"on","class2","indoor","LF"
"235","pm25","pm10",0.480413621125519,"on","class2","indoor","LF"
"236","pm25","pm1num",0.747850578619628,"on","class2","indoor","LF"
"237","pm25","concent",0.246815282461239,"on","class2","indoor","LF"
"238","pm10","pm1num",0.207699535618765,"on","class2","indoor","LF"
"239","pm10","concent",0.303677893798301,"on","class2","indoor","LF"
"240","pm1num","concent",0.215480790214331,"on","class2","indoor","LF"
"241","pm1","pm25",0.935278650304885,"on","class4","indoor","LF"
"242","pm1","pm10",0.077926411770008,"on","class4","indoor","LF"
"243","pm1","pm1num",0.960009037786536,"on","class4","indoor","LF"
"244","pm1","concent",0.317919489025815,"on","class4","indoor","LF"
"245","pm25","pm10",0.369246998898986,"on","class4","indoor","LF"
"246","pm25","pm1num",0.921285491154944,"on","class4","indoor","LF"
"247","pm25","concent",0.254003142028499,"on","class4","indoor","LF"
"248","pm10","pm1num",0.110257833804315,"on","class4","indoor","LF"
"249","pm10","concent",-0.0695800839151164,"on","class4","indoor","LF"
"250","pm1num","concent",0.305759441159623,"on","class4","indoor","LF"
"251","pm1","pm25",0.988288202446504,"on","infant","indoor","SS"
"252","pm1","pm10",0.802915822583683,"on","infant","indoor","SS"
"253","pm1","pm1num",0.660318684711418,"on","infant","indoor","SS"
"254","pm1","concent",0.270217324631342,"on","infant","indoor","SS"
"255","pm25","pm10",0.835770899666327,"on","infant","indoor","SS"
"256","pm25","pm1num",0.715144655177192,"on","infant","indoor","SS"
"257","pm25","concent",0.266401463702724,"on","infant","indoor","SS"
"258","pm10","pm1num",0.622909094814765,"on","infant","indoor","SS"
"259","pm10","concent",0.224029011949082,"on","infant","indoor","SS"
"260","pm1num","concent",0.471731020742239,"on","infant","indoor","SS"
"261","pm1","pm25",0.98611311776298,"on","preschool","indoor","SS"
"262","pm1","pm10",0.686128434972995,"on","preschool","indoor","SS"
"263","pm1","pm1num",0.760214279748372,"on","preschool","indoor","SS"
"264","pm1","concent",0.414941120205881,"on","preschool","indoor","SS"
"265","pm25","pm10",0.746227018668452,"on","preschool","indoor","SS"
"266","pm25","pm1num",0.813831821686426,"on","preschool","indoor","SS"
"267","pm25","concent",0.453091176482276,"on","preschool","indoor","SS"
"268","pm10","pm1num",0.629616036959916,"on","preschool","indoor","SS"
"269","pm10","concent",0.475922295124075,"on","preschool","indoor","SS"
"270","pm1num","concent",0.574570996891131,"on","preschool","indoor","SS"
"271","pm1","pm25",0.985493979802108,"on","all","indoor","all"
"272","pm1","pm10",0.58816815688603,"on","all","indoor","all"
"273","pm1","pm1num",0.724894221704644,"on","all","indoor","all"
"274","pm1","concent",0.513210429367708,"on","all","indoor","all"
"275","pm25","pm10",0.681694800127213,"on","all","indoor","all"
"276","pm25","pm1num",0.735539270239378,"on","all","indoor","all"
"277","pm25","concent",0.528747114993794,"on","all","indoor","all"
"278","pm10","pm1num",0.46242999572852,"on","all","indoor","all"
"279","pm10","concent",0.415442487454634,"on","all","indoor","all"
"280","pm1num","concent",0.46591950388049,"on","all","indoor","all"
